# MYSS master list — реальные люди для постепенного обогащения контентом.
# Поля фактические и проверяемые: имя, роль, страна, годы жизни.
# Профиль публикуется только после наполнения курса и проверки источников.
# slug	name	role	country	region	era	categories	birthYear	deathYear
john-collison	Джон Коллисон	Сооснователь Stripe	Ирландия	Западная Европа	contemporary	entrepreneurship,technology	1990	
daniel-ek	Даниэль Эк	Основатель Spotify	Швеция	Скандинавия	contemporary	entrepreneurship,music,technology	1983	
jan-koum	Ян Кум	Сооснователь WhatsApp	США	Северная Америка	contemporary	technology,entrepreneurship	1976	
pavel-durov	Павел Дуров	Основатель Telegram и «ВКонтакте»	Россия	Восточная Европа	contemporary	technology,entrepreneurship	1984	
arkady-volozh	Аркадий Волож	Сооснователь «Яндекса»	Россия	Восточная Европа	contemporary	technology,entrepreneurship	1964	
sergey-galitsky	Сергей Галицкий	Основатель «Магнита»	Россия	Восточная Европа	contemporary	business,entrepreneurship	1967	
oleg-tinkov	Олег Тиньков	Предприниматель, основатель банка	Россия	Восточная Европа	contemporary	entrepreneurship,finance	1967	
evgeny-kaspersky	Евгений Касперский	Основатель «Лаборатории Касперского»	Россия	Восточная Европа	contemporary	technology,business	1965	
david-yan	Давид Ян	Основатель ABBYY	Россия	Восточная Европа	contemporary	technology,entrepreneurship	1968	
jack-ma	Джек Ма	Основатель Alibaba	Китай	Восточная Азия	contemporary	entrepreneurship,business	1964	
pony-ma	Ма Хуатэн	Основатель Tencent	Китай	Восточная Азия	contemporary	technology,business	1971	
ren-zhengfei	Жэнь Чжэнфэй	Основатель Huawei	Китай	Восточная Азия	contemporary	business,technology,strategy	1944	
lei-jun	Лэй Цзюнь	Основатель Xiaomi	Китай	Восточная Азия	contemporary	technology,entrepreneurship	1969	
zhang-yiming	Чжан Идун	Основатель ByteDance	Китай	Восточная Азия	contemporary	technology,entrepreneurship	1983	
robin-li	Робин Ли	Основатель Baidu	Китай	Восточная Азия	contemporary	technology,entrepreneurship	1968	
akio-morita	Акио Морита	Сооснователь Sony	Япония	Восточная Азия	contemporary	business,innovation	1921	1999
masaru-ibuka	Масару Ибука	Сооснователь Sony	Япония	Восточная Азия	contemporary	technology,innovation	1908	1997
konosuke-matsushita	Коносукэ Мацусита	Основатель Panasonic	Япония	Восточная Азия	contemporary	business,thought	1894	1989
soichiro-honda	Соитиро Хонда	Основатель Honda	Япония	Восточная Азия	contemporary	business,innovation	1906	1991
kazuo-inamori	Кадзуо Инамори	Основатель Kyocera, спасатель JAL	Япония	Восточная Азия	contemporary	business,thought,strategy	1932	2022
taiichi-ohno	Тайити Оно	Создатель производственной системы Toyota	Япония	Восточная Азия	contemporary	business,innovation,strategy	1912	1990
masayoshi-son	Масаёси Сон	Основатель SoftBank	Япония	Восточная Азия	contemporary	finance,entrepreneurship	1957	
tadashi-yanai	Тадаси Янаи	Основатель Uniqlo	Япония	Восточная Азия	contemporary	business,entrepreneurship	1949	
lee-byung-chul	Ли Бён Чхоль	Основатель Samsung	Южная Корея	Восточная Азия	contemporary	business,entrepreneurship	1910	1987
chung-ju-yung	Чон Чжу Ён	Основатель Hyundai	Южная Корея	Восточная Азия	contemporary	business,entrepreneurship	1915	2001
ratan-tata	Ратан Тата	Глава Tata Group	Индия	Южная Азия	contemporary	business,strategy	1937	2024
narayana-murthy	Нараяна Мурти	Основатель Infosys	Индия	Южная Азия	contemporary	business,technology	1946	
dhirubhai-ambani	Дхирубхай Амбани	Основатель Reliance	Индия	Южная Азия	contemporary	entrepreneurship,business	1932	2002
sundar-pichai	Сундар Пичаи	Глава Google	Индия	Южная Азия	contemporary	business,technology	1972	
jorge-paulo-lemann	Жоржи Паулу Леманн	Инвестор, сооснователь 3G Capital	Бразилия	Латинская Америка	contemporary	finance,business	1939	
carlos-slim	Карлос Слим	Предприниматель и инвестор	Мексика	Латинская Америка	contemporary	finance,business	1940	
ingvar-kamprad	Ингвар Кампрад	Основатель IKEA	Швеция	Скандинавия	contemporary	business,design	1926	2018
richard-branson	Ричард Брэнсон	Основатель Virgin Group	Великобритания	Западная Европа	contemporary	entrepreneurship,business	1950	
james-dyson	Джеймс Дайсон	Изобретатель, основатель Dyson	Великобритания	Западная Европа	contemporary	design,innovation,entrepreneurship	1947	
anita-roddick	Анита Роддик	Основательница The Body Shop	Великобритания	Западная Европа	contemporary	entrepreneurship,business	1942	2007
bernard-arnault	Бернар Арно	Глава LVMH	Франция	Западная Европа	contemporary	business,strategy	1949	
amancio-ortega	Амансио Ортега	Основатель Zara	Испания	Западная Европа	contemporary	business,strategy	1936	
giorgio-armani	Джорджио Армани	Модельер, основатель дома Armani	Италия	Западная Европа	contemporary	design,business	1934	2025
enzo-ferrari	Энцо Феррари	Основатель Ferrari	Италия	Западная Европа	contemporary	business,sport,innovation	1898	1988
ferdinand-porsche	Фердинанд Порше	Инженер-конструктор	Германия	Западная Европа	contemporary	technology,innovation	1875	1951
robert-bosch	Роберт Бош	Инженер, основатель Bosch	Германия	Западная Европа	modern	business,innovation	1861	1942
henry-ford	Генри Форд	Основатель Ford Motor Company	США	Северная Америка	modern	business,innovation	1863	1947
walt-disney	Уолт Дисней	Основатель Disney	США	Северная Америка	contemporary	cinema,business,art	1901	1966
ray-kroc	Рэй Крок	Построил сеть McDonald's	США	Северная Америка	contemporary	business,strategy	1902	1984
sam-walton	Сэм Уолтон	Основатель Walmart	США	Северная Америка	contemporary	business,strategy	1918	1992
estee-lauder	Эсте Лаудер	Основательница косметической компании	США	Северная Америка	contemporary	business,entrepreneurship	1908	2004
coco-chanel	Коко Шанель	Модельер	Франция	Западная Европа	contemporary	design,art,business	1883	1971
yves-saint-laurent	Ив Сен-Лоран	Модельер	Франция	Западная Европа	contemporary	design,art	1936	2008
christian-dior	Кристиан Диор	Модельер	Франция	Западная Европа	contemporary	design,business	1905	1957
virgil-abloh	Вирджил Абло	Дизайнер, основатель Off-White	США	Северная Америка	contemporary	design,art,content	1980	2021
rei-kawakubo	Рей Кавакубо	Основательница Comme des Garçons	Япония	Восточная Азия	contemporary	design,art	1942	
issey-miyake	Иссэй Миякэ	Модельер	Япония	Восточная Азия	contemporary	design,innovation	1938	2022
dieter-rams	Дитер Рамс	Промышленный дизайнер Braun	Германия	Западная Европа	contemporary	design,thought	1932	
jony-ive	Джони Айв	Дизайнер Apple	Великобритания	Западная Европа	contemporary	design,technology	1967	
naoto-fukasawa	Наото Фукасава	Промышленный дизайнер	Япония	Восточная Азия	contemporary	design	1956	
paul-rand	Пол Рэнд	Графический дизайнер	США	Северная Америка	contemporary	design,art	1914	1996
massimo-vignelli	Массимо Виньелли	Графический дизайнер	Италия	Западная Европа	contemporary	design	1931	2014
saul-bass	Сол Басс	Графический дизайнер, автор титров	США	Северная Америка	contemporary	design,cinema	1920	1996
milton-glaser	Милтон Глейзер	Графический дизайнер	США	Северная Америка	contemporary	design,art	1929	2020
charles-eames	Чарльз Имз	Дизайнер и архитектор	США	Северная Америка	contemporary	design,architecture	1907	1978
ray-eames	Рэй Имз	Дизайнер	США	Северная Америка	contemporary	design,art	1912	1988
frank-lloyd-wright	Фрэнк Ллойд Райт	Архитектор	США	Северная Америка	modern	architecture,design	1867	1959
le-corbusier	Ле Корбюзье	Архитектор и теоретик	Швейцария	Западная Европа	contemporary	architecture,thought	1887	1965
mies-van-der-rohe	Людвиг Мис ван дер Роэ	Архитектор	Германия	Западная Европа	contemporary	architecture,design	1886	1969
zaha-hadid	Заха Хадид	Архитектор	Великобритания	Западная Европа	contemporary	architecture,design	1950	2016
tadao-ando	Тадао Андо	Архитектор	Япония	Восточная Азия	contemporary	architecture,thought	1941	
oscar-niemeyer	Оскар Нимейер	Архитектор	Бразилия	Латинская Америка	contemporary	architecture,art	1907	2012
renzo-piano	Ренцо Пиано	Архитектор	Италия	Западная Европа	contemporary	architecture,design	1937	
norman-foster	Норман Фостер	Архитектор	Великобритания	Западная Европа	contemporary	architecture,innovation	1935	
antoni-gaudi	Антони Гауди	Архитектор	Испания	Западная Европа	modern	architecture,art	1852	1926
alvar-aalto	Алвар Аалто	Архитектор и дизайнер	Финляндия	Скандинавия	contemporary	architecture,design	1898	1976
albert-einstein	Альберт Эйнштейн	Физик-теоретик	Германия	Западная Европа	contemporary	science,thought	1879	1955
marie-curie	Мария Склодовская-Кюри	Физик и химик	Польша	Восточная Европа	modern	science,innovation	1867	1934
richard-feynman	Ричард Фейнман	Физик	США	Северная Америка	contemporary	science,thought	1918	1988
niels-bohr	Нильс Бор	Физик	Дания	Скандинавия	contemporary	science,thought	1885	1962
werner-heisenberg	Вернер Гейзенберг	Физик	Германия	Западная Европа	contemporary	science	1901	1976
erwin-schrodinger	Эрвин Шрёдингер	Физик	Австрия	Западная Европа	contemporary	science	1887	1961
paul-dirac	Поль Дирак	Физик	Великобритания	Западная Европа	contemporary	science	1902	1984
max-planck	Макс Планк	Физик	Германия	Западная Европа	modern	science	1858	1947
enrico-fermi	Энрико Ферми	Физик	Италия	Западная Европа	contemporary	science	1901	1954
robert-oppenheimer	Роберт Оппенгеймер	Физик, руководитель Манхэттенского проекта	США	Северная Америка	contemporary	science,politics	1904	1967
lev-landau	Лев Ландау	Физик-теоретик	СССР	Восточная Европа	contemporary	science	1908	1968
pyotr-kapitsa	Пётр Капица	Физик	СССР	Восточная Европа	contemporary	science	1894	1984
andrei-sakharov	Андрей Сахаров	Физик, правозащитник	СССР	Восточная Европа	contemporary	science,politics	1921	1989
igor-kurchatov	Игорь Курчатов	Физик, руководитель атомного проекта	СССР	Восточная Европа	contemporary	science,strategy	1903	1960
sergei-korolev	Сергей Королёв	Конструктор ракетно-космических систем	СССР	Восточная Европа	contemporary	technology,innovation,strategy	1907	1966
konstantin-tsiolkovsky	Константин Циолковский	Теоретик космонавтики	Россия	Восточная Европа	modern	science,innovation	1857	1935
yuri-gagarin	Юрий Гагарин	Первый человек в космосе	СССР	Восточная Европа	contemporary	science,sport	1934	1968
wernher-von-braun	Вернер фон Браун	Конструктор ракет	Германия	Западная Европа	contemporary	technology,innovation	1912	1977
neil-armstrong	Нил Армстронг	Астронавт	США	Северная Америка	contemporary	science	1930	2012
katherine-johnson	Кэтрин Джонсон	Математик NASA	США	Северная Америка	contemporary	science	1918	2020
alan-turing	Алан Тьюринг	Математик, основатель информатики	Великобритания	Западная Европа	contemporary	science,technology	1912	1954
john-von-neumann	Джон фон Нейман	Математик	Венгрия	Восточная Европа	contemporary	science,strategy	1903	1957
claude-shannon	Клод Шеннон	Основатель теории информации	США	Северная Америка	contemporary	science,innovation	1916	2001
norbert-wiener	Норберт Винер	Основатель кибернетики	США	Северная Америка	contemporary	science,thought	1894	1964
grace-hopper	Грейс Хоппер	Программист, создатель компилятора	США	Северная Америка	contemporary	technology,innovation	1906	1992
ada-lovelace	Ада Лавлейс	Математик, первый программист	Великобритания	Западная Европа	modern	science,innovation	1815	1852
charles-babbage	Чарльз Бэббидж	Изобретатель вычислительной машины	Великобритания	Западная Европа	modern	science,innovation	1791	1871
donald-knuth	Дональд Кнут	Информатик, автор «Искусства программирования»	США	Северная Америка	contemporary	science,technology	1938	
dennis-ritchie	Деннис Ритчи	Создатель языка C и Unix	США	Северная Америка	contemporary	technology,innovation	1941	2011
ken-thompson	Кен Томпсон	Создатель Unix	США	Северная Америка	contemporary	technology,innovation	1943	
linus-torvalds	Линус Торвальдс	Создатель Linux	Финляндия	Скандинавия	contemporary	technology,innovation	1969	
tim-berners-lee	Тим Бернерс-Ли	Создатель World Wide Web	Великобритания	Западная Европа	contemporary	technology,innovation	1955	
vint-cerf	Винтон Серф	Соавтор протоколов интернета	США	Северная Америка	contemporary	technology,innovation	1943	
edsger-dijkstra	Эдсгер Дейкстра	Информатик	Нидерланды	Западная Европа	contemporary	science,thought	1930	2002
alan-kay	Алан Кэй	Информатик, идеолог персонального компьютера	США	Северная Америка	contemporary	technology,thought	1940	
douglas-engelbart	Дуглас Энгельбарт	Изобретатель мыши и интерфейсов	США	Северная Америка	contemporary	technology,innovation	1925	2013
geoffrey-hinton	Джеффри Хинтон	Исследователь машинного обучения	Великобритания	Западная Европа	contemporary	science,technology	1947	
yann-lecun	Ян Лекун	Исследователь машинного обучения	Франция	Западная Европа	contemporary	science,technology	1960	
demis-hassabis	Демис Хассабис	Сооснователь DeepMind	Великобритания	Западная Европа	contemporary	science,technology	1976	
andrey-kolmogorov	Андрей Колмогоров	Математик	СССР	Восточная Европа	contemporary	science	1903	1987
grigori-perelman	Григорий Перельман	Математик	Россия	Восточная Европа	contemporary	science,thought	1966	
srinivasa-ramanujan	Сриниваса Рамануджан	Математик	Индия	Южная Азия	modern	science	1887	1920
david-hilbert	Давид Гильберт	Математик	Германия	Западная Европа	modern	science	1862	1943
henri-poincare	Анри Пуанкаре	Математик и физик	Франция	Западная Европа	modern	science,thought	1854	1912
kurt-godel	Курт Гёдель	Логик и математик	Австрия	Западная Европа	contemporary	science,thought	1906	1978
emmy-noether	Эмми Нётер	Математик	Германия	Западная Европа	contemporary	science	1882	1935
charles-darwin	Чарльз Дарвин	Естествоиспытатель	Великобритания	Западная Европа	modern	science,thought	1809	1882
gregor-mendel	Грегор Мендель	Основатель генетики	Австрия	Восточная Европа	modern	science	1822	1884
louis-pasteur	Луи Пастер	Микробиолог и химик	Франция	Западная Европа	modern	science,innovation	1822	1895
alexander-fleming	Александр Флеминг	Открыл пенициллин	Великобритания	Западная Европа	contemporary	science	1881	1955
rosalind-franklin	Розалинд Франклин	Биофизик	Великобритания	Западная Европа	contemporary	science	1920	1958
james-watson	Джеймс Уотсон	Биолог, соавтор модели ДНК	США	Северная Америка	contemporary	science	1928	
francis-crick	Фрэнсис Крик	Биолог, соавтор модели ДНК	Великобритания	Западная Европа	contemporary	science	1916	2004
barbara-mcclintock	Барбара Мак-Клинток	Генетик	США	Северная Америка	contemporary	science	1902	1992
jennifer-doudna	Дженнифер Дудна	Биохимик, соавтор CRISPR	США	Северная Америка	contemporary	science,innovation	1964	
katalin-kariko	Каталин Карико	Биохимик, работы по мРНК	Венгрия	Восточная Европа	contemporary	science,innovation	1955	
ivan-pavlov	Иван Павлов	Физиолог	Россия	Восточная Европа	modern	science	1849	1936
sigmund-freud	Зигмунд Фрейд	Основатель психоанализа	Австрия	Западная Европа	contemporary	science,thought	1856	1939
carl-jung	Карл Юнг	Психиатр, основатель аналитической психологии	Швейцария	Западная Европа	contemporary	science,thought	1875	1961
daniel-kahneman	Даниэль Канеман	Психолог, исследователь решений	Израиль	Ближний Восток	contemporary	science,thought,finance	1934	2024
amos-tversky	Амос Тверски	Психолог, исследователь решений	Израиль	Ближний Восток	contemporary	science,thought	1937	1996
viktor-frankl	Виктор Франкл	Психиатр, автор «Человек в поисках смысла»	Австрия	Западная Европа	contemporary	thought,science	1905	1997
anders-ericsson	Андерс Эрикссон	Исследователь осознанной практики	Швеция	Скандинавия	contemporary	science,thought	1947	2020
carol-dweck	Кэрол Дуэк	Психолог, исследования мышления роста	США	Северная Америка	contemporary	science,thought	1946	
richard-thaler	Ричард Талер	Экономист, поведенческая экономика	США	Северная Америка	contemporary	science,finance	1945	
john-maynard-keynes	Джон Мейнард Кейнс	Экономист	Великобритания	Западная Европа	contemporary	finance,thought	1883	1946
milton-friedman	Милтон Фридман	Экономист	США	Северная Америка	contemporary	finance,thought	1912	2006
friedrich-hayek	Фридрих фон Хайек	Экономист и философ	Австрия	Западная Европа	contemporary	finance,thought	1899	1992
adam-smith	Адам Смит	Экономист и философ	Великобритания	Западная Европа	early_modern	finance,thought	1723	1790
peter-drucker	Питер Друкер	Теоретик менеджмента	Австрия	Западная Европа	contemporary	business,thought,strategy	1909	2005
w-edwards-deming	Уильям Эдвардс Деминг	Теоретик качества	США	Северная Америка	contemporary	business,strategy	1900	1993
clayton-christensen	Клейтон Кристенсен	Теоретик инноваций	США	Северная Америка	contemporary	business,strategy,innovation	1952	2020
michael-porter	Майкл Портер	Теоретик конкурентной стратегии	США	Северная Америка	contemporary	strategy,business	1947	
thomas-edison	Томас Эдисон	Изобретатель и предприниматель	США	Северная Америка	modern	innovation,entrepreneurship	1847	1931
nikola-tesla	Никола Тесла	Изобретатель и инженер	Сербия	Восточная Европа	modern	innovation,science	1856	1943
alexander-graham-bell	Александр Белл	Изобретатель телефона	Великобритания	Северная Америка	modern	innovation,technology	1847	1922
guglielmo-marconi	Гульельмо Маркони	Изобретатель радиосвязи	Италия	Западная Европа	modern	innovation,technology	1874	1937
wright-brothers-wilbur	Уилбур Райт	Пионер авиации	США	Северная Америка	modern	innovation,technology	1867	1912
wright-brothers-orville	Орвилл Райт	Пионер авиации	США	Северная Америка	modern	innovation,technology	1871	1948
george-washington-carver	Джордж Вашингтон Карвер	Учёный-агроном и изобретатель	США	Северная Америка	modern	science,innovation	1864	1943
buckminster-fuller	Бакминстер Фуллер	Изобретатель и мыслитель	США	Северная Америка	contemporary	innovation,architecture,thought	1895	1983
james-watt	Джеймс Уатт	Инженер, паровая машина	Великобритания	Западная Европа	early_modern	innovation,technology	1736	1819
isambard-brunel	Изамбард Брюнель	Инженер	Великобритания	Западная Европа	modern	innovation,architecture	1806	1859
gustave-eiffel	Гюстав Эйфель	Инженер	Франция	Западная Европа	modern	architecture,innovation	1832	1923
vladimir-shukhov	Владимир Шухов	Инженер и изобретатель	Россия	Восточная Европа	modern	innovation,architecture	1853	1939
michael-jordan	Майкл Джордан	Баскетболист	США	Северная Америка	contemporary	sport	1963	
kobe-bryant	Коби Брайант	Баскетболист	США	Северная Америка	contemporary	sport	1978	2020
lebron-james	Леброн Джеймс	Баскетболист	США	Северная Америка	contemporary	sport,business	1984	
bill-russell	Билл Расселл	Баскетболист	США	Северная Америка	contemporary	sport,politics	1934	2022
muhammad-ali	Мохаммед Али	Боксёр	США	Северная Америка	contemporary	sport,politics	1942	2016
mike-tyson	Майк Тайсон	Боксёр	США	Северная Америка	contemporary	sport	1966	
serena-williams	Серена Уильямс	Теннисистка	США	Северная Америка	contemporary	sport,business	1981	
roger-federer	Роджер Федерер	Теннисист	Швейцария	Западная Европа	contemporary	sport	1981	
rafael-nadal	Рафаэль Надаль	Теннисист	Испания	Западная Европа	contemporary	sport	1986	
novak-djokovic	Новак Джокович	Теннисист	Сербия	Восточная Европа	contemporary	sport	1987	
pele	Пеле	Футболист	Бразилия	Латинская Америка	contemporary	sport	1940	2022
diego-maradona	Диего Марадона	Футболист	Аргентина	Латинская Америка	contemporary	sport	1960	2020
lionel-messi	Лионель Месси	Футболист	Аргентина	Латинская Америка	contemporary	sport	1987	
cristiano-ronaldo	Криштиану Роналду	Футболист	Португалия	Западная Европа	contemporary	sport	1985	
johan-cruyff	Йохан Кройф	Футболист и тренер	Нидерланды	Западная Европа	contemporary	sport,strategy	1947	2016
alex-ferguson	Алекс Фергюсон	Футбольный тренер	Великобритания	Западная Европа	contemporary	sport,strategy	1941	
pep-guardiola	Пеп Гвардиола	Футбольный тренер	Испания	Западная Европа	contemporary	sport,strategy	1971	
jurgen-klopp	Юрген Клопп	Футбольный тренер	Германия	Западная Европа	contemporary	sport,strategy	1967	
valery-lobanovsky	Валерий Лобановский	Футбольный тренер	СССР	Восточная Европа	contemporary	sport,strategy	1939	2002
anatoly-tarasov	Анатолий Тарасов	Хоккейный тренер	СССР	Восточная Европа	contemporary	sport,strategy	1918	1995
viktor-tikhonov	Виктор Тихонов	Хоккейный тренер	СССР	Восточная Европа	contemporary	sport,strategy	1930	2014
vladislav-tretiak	Владислав Третьяк	Хоккейный вратарь	СССР	Восточная Европа	contemporary	sport	1952	
wayne-gretzky	Уэйн Гретцки	Хоккеист	Канада	Северная Америка	contemporary	sport	1961	
lev-yashin	Лев Яшин	Футбольный вратарь	СССР	Восточная Европа	contemporary	sport	1929	1990
garry-kasparov	Гарри Каспаров	Шахматист	Россия	Восточная Европа	contemporary	sport,thought,strategy	1963	
anatoly-karpov	Анатолий Карпов	Шахматист	Россия	Восточная Европа	contemporary	sport,strategy	1951	
mikhail-botvinnik	Михаил Ботвинник	Шахматист и инженер	СССР	Восточная Европа	contemporary	sport,strategy	1911	1995
bobby-fischer	Бобби Фишер	Шахматист	США	Северная Америка	contemporary	sport	1943	2008
magnus-carlsen	Магнус Карлсен	Шахматист	Норвегия	Скандинавия	contemporary	sport,strategy	1990	
usain-bolt	Усэйн Болт	Спринтер	Ямайка	Латинская Америка	contemporary	sport	1986	
carl-lewis	Карл Льюис	Легкоатлет	США	Северная Америка	contemporary	sport	1961	
jesse-owens	Джесси Оуэнс	Легкоатлет	США	Северная Америка	contemporary	sport,politics	1913	1980
eliud-kipchoge	Элиуд Кипчоге	Марафонец	Кения	Африка	contemporary	sport	1984	
michael-phelps	Майкл Фелпс	Пловец	США	Северная Америка	contemporary	sport	1985	
nadia-comaneci	Надя Команечи	Гимнастка	Румыния	Восточная Европа	contemporary	sport	1961	
simone-biles	Симона Байлз	Гимнастка	США	Северная Америка	contemporary	sport	1997	
larisa-latynina	Лариса Латынина	Гимнастка	СССР	Восточная Европа	contemporary	sport	1934	2024
alexander-karelin	Александр Карелин	Борец	Россия	Восточная Европа	contemporary	sport	1967	
khabib-nurmagomedov	Хабиб Нурмагомедов	Боец смешанных единоборств	Россия	Восточная Европа	contemporary	sport	1988	
bruce-lee	Брюс Ли	Мастер боевых искусств, актёр	Гонконг	Восточная Азия	contemporary	sport,cinema,thought	1940	1973
jigoro-kano	Дзигоро Кано	Основатель дзюдо	Япония	Восточная Азия	modern	sport,thought	1860	1938
ayrton-senna	Айртон Сенна	Автогонщик	Бразилия	Латинская Америка	contemporary	sport	1960	1994
michael-schumacher	Михаэль Шумахер	Автогонщик	Германия	Западная Европа	contemporary	sport	1969	
lewis-hamilton	Льюис Хэмилтон	Автогонщик	Великобритания	Западная Европа	contemporary	sport	1985	
niki-lauda	Ники Лауда	Автогонщик и предприниматель	Австрия	Западная Европа	contemporary	sport,business	1949	2019
tiger-woods	Тайгер Вудс	Гольфист	США	Северная Америка	contemporary	sport	1975	
phil-knight	Фил Найт	Основатель Nike	США	Северная Америка	contemporary	business,sport	1938	
bill-bowerman	Билл Бауэрман	Тренер, сооснователь Nike	США	Северная Америка	contemporary	sport,innovation	1911	1999
john-wooden	Джон Вуден	Баскетбольный тренер	США	Северная Америка	contemporary	sport,thought	1910	2010
vince-lombardi	Винс Ломбарди	Тренер по американскому футболу	США	Северная Америка	contemporary	sport,strategy	1913	1970
reinhold-messner	Райнхольд Месснер	Альпинист	Италия	Западная Европа	contemporary	sport,thought	1944	
edmund-hillary	Эдмунд Хиллари	Альпинист	Новая Зеландия	Океания	contemporary	sport	1919	2008
jacques-cousteau	Жак-Ив Кусто	Исследователь океана	Франция	Западная Европа	contemporary	science,media	1910	1997
roald-amundsen	Руаль Амундсен	Полярный исследователь	Норвегия	Скандинавия	modern	sport,strategy	1872	1928
ernest-shackleton	Эрнест Шеклтон	Полярный исследователь	Великобритания	Западная Европа	modern	politics,strategy	1874	1922
johann-sebastian-bach	Иоганн Себастьян Бах	Композитор	Германия	Западная Европа	early_modern	music	1685	1750
wolfgang-amadeus-mozart	Вольфганг Амадей Моцарт	Композитор	Австрия	Западная Европа	early_modern	music	1756	1791
ludwig-van-beethoven	Людвиг ван Бетховен	Композитор	Германия	Западная Европа	modern	music	1770	1827
pyotr-tchaikovsky	Пётр Чайковский	Композитор	Россия	Восточная Европа	modern	music	1840	1893
igor-stravinsky	Игорь Стравинский	Композитор	Россия	Восточная Европа	contemporary	music,innovation	1882	1971
dmitri-shostakovich	Дмитрий Шостакович	Композитор	СССР	Восточная Европа	contemporary	music	1906	1975
sergei-rachmaninoff	Сергей Рахманинов	Композитор и пианист	Россия	Восточная Европа	contemporary	music	1873	1943
frederic-chopin	Фридерик Шопен	Композитор и пианист	Польша	Восточная Европа	modern	music	1810	1849
giuseppe-verdi	Джузеппе Верди	Композитор	Италия	Западная Европа	modern	music	1813	1901
richard-wagner	Рихард Вагнер	Композитор	Германия	Западная Европа	modern	music	1813	1883
maria-callas	Мария Каллас	Оперная певица	Греция	Западная Европа	contemporary	music	1923	1977
